Month,Dealer,LOB,Car_Model,Employee_Code,Status,Reason_Lost,Testdrive,Financier,Source_PV_,Inquiry_Date,Booking_Date,Invoice_Date,Booking_Confirmed,Sale_Confirmed
2020 / 11,Dealer 1,UVs,Model F,8.36494E+18,Won,Unspecified,Given,SELF,External Leads-BAP,11/20/2020,2020-11-23,2020-11-24,TRUE,TRUE
2020 / 11,Dealer 1,UVs,Model I,8.36494E+18,Won,Unspecified,Given,Unspecified,Call to Dealer,11/7/2020,2020-11-07,2020-11-25,TRUE,TRUE
2020 / 12,Dealer 1,Cars,Model O,8.36494E+18,Won,Unspecified,Given,Unspecified,Showroom Walk-in,12/8/2020,2020-12-08,2020-12-24,TRUE,TRUE
2020 / 12,Dealer 1,EVBU,Model J,8.36494E+18,Won,Unspecified,Given,Unspecified,Showroom Walk-in,12/4/2020,2020-12-07,2020-12-25,TRUE,TRUE
2021 / 01,Dealer 1,UVs,Model I,8.36494E+18,Won,Unspecified,Given,Unspecified,Call to Dealer,11/7/2020,2020-11-07,2021-01-11,TRUE,TRUE
2021 / 01,Dealer 1,UVs,Model I,8.36494E+18,Won,Unspecified,Given,Unspecified,Cold Calling,11/25/2020,2020-11-25,2021-01-11,TRUE,TRUE
2021 / 01,Dealer 1,UVs,Model I,8.36494E+18,Won,Unspecified,Given,Unspecified,Showroom Walk-in,11/4/2020,2021-01-02,2021-01-07,TRUE,TRUE
2022 / 04,Dealer 1,Cars,Model O,8.36494E+18,Won,Unspecified,Given,Unspecified,Showroom Walk-in,4/6/2022,2022-04-09,2022-04-28,TRUE,TRUE
2022 / 04,Dealer 1,UVs,Model F,8.36494E+18,Won,Unspecified,Given,Unspecified,Showroom Walk-in,3/7/2022,2022-03-08,2022-04-19,TRUE,TRUE
2022 / 05,Dealer 1,Cars,Model A,8.36494E+18,Won,Unspecified,Given,Unspecified,Showroom Walk-in,4/2/2022,2022-04-26,2022-05-18,TRUE,TRUE
2022 / 05,Dealer 1,Cars,Model O,8.36494E+18,Won,Unspecified,Given,Unspecified,Showroom Walk-in,3/13/2022,2022-05-30,2022-05-30,TRUE,TRUE
2022 / 06,Dealer 1,Cars,Model P,8.36494E+18,Won,Unspecified,Given,Unspecified,Showroom Walk-in,5/1/2022,2022-05-03,2022-06-29,TRUE,TRUE
2020 / 07,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,7/7/2020,2020-07-07,2020-07-22,TRUE,TRUE
2020 / 07,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,6/15/2020,2020-06-15,2020-07-11,TRUE,TRUE
2020 / 07,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Not given,SELF,Cold Calling,7/25/2020,2020-07-25,2020-07-28,TRUE,TRUE
2020 / 08,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,7/23/2020,2020-07-27,2020-08-31,TRUE,TRUE
2020 / 08,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,8/30/2020,2020-08-31,2020-08-31,TRUE,TRUE
2020 / 09,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,8/19/2020,2020-08-19,2020-09-26,TRUE,TRUE
2020 / 09,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,8/29/2020,2020-08-30,2020-09-21,TRUE,TRUE
2020 / 10,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Given,SELF,External Leads-Web,8/29/2020,2020-09-21,2020-10-09,TRUE,TRUE
2020 / 10,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Not given,HDFC BANK LTD,Showroom Walk-in,10/2/2020,2020-10-03,2020-10-12,TRUE,TRUE
2020 / 10,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Given,STATE BANK OF INDIA,Showroom Walk-in,10/2/2020,2020-10-06,2020-10-14,TRUE,TRUE
2020 / 10,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,9/29/2020,2020-10-03,2020-10-14,TRUE,TRUE
2020 / 10,Dealer 2,UVs,Model F,8.65718E+18,Won,Unspecified,Not given,SELF,External Leads - SSS Self,10/27/2020,2020-10-27,2020-10-27,TRUE,TRUE
2020 / 10,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,10/4/2020,2020-10-07,2020-10-22,TRUE,TRUE
2020 / 11,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,KVB,Showroom Walk-in,11/23/2020,2020-11-23,2020-11-29,TRUE,TRUE
2020 / 11,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,11/12/2020,2020-11-13,2020-11-30,TRUE,TRUE
2020 / 11,Dealer 2,Cars,Model P,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,11/1/2020,2020-11-02,2020-11-14,TRUE,TRUE
2020 / 11,Dealer 2,UVs,Model F,8.65718E+18,Won,Unspecified,Not given,SELF,External Leads-BAP,11/10/2020,2020-11-10,2020-11-10,TRUE,TRUE
2020 / 11,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,HDFC BANK LTD,Showroom Walk-in,11/12/2020,2020-11-14,2020-11-20,TRUE,TRUE
2020 / 11,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,10/29/2020,2020-10-31,2020-11-14,TRUE,TRUE
2020 / 12,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,11/26/2020,2020-12-21,2020-12-21,TRUE,TRUE
2020 / 12,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,BANK OF MAHARASHTRA,Showroom Walk-in,11/24/2020,2020-12-02,2020-12-04,TRUE,TRUE
2020 / 12,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,11/19/2020,2020-11-21,2020-12-14,TRUE,TRUE
2020 / 12,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Not given,SELF,External Leads - SSS Self,12/17/2020,2020-12-18,2020-12-18,TRUE,TRUE
2020 / 12,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,HDFC BANK LTD,Showroom Walk-in,12/10/2020,2020-12-11,2020-12-16,TRUE,TRUE
2020 / 12,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Not given,STATE BANK OF INDIA,Showroom Walk-in,12/30/2020,2020-12-30,2020-12-30,TRUE,TRUE
2020 / 12,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,11/8/2020,2020-11-09,2020-12-28,TRUE,TRUE
2021 / 01,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Not given,SELF,Referral,1/16/2021,2021-01-18,2021-01-19,TRUE,TRUE
2021 / 01,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,1/8/2021,2021-01-11,2021-01-15,TRUE,TRUE
2021 / 01,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,1/9/2021,2021-01-09,2021-01-14,TRUE,TRUE
2021 / 01,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,1/6/2021,2021-01-06,2021-01-13,TRUE,TRUE
2021 / 01,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,SELF,Referral,1/14/2021,2021-01-26,2021-01-27,TRUE,TRUE
2021 / 01,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,9/22/2020,2020-10-12,2021-01-08,TRUE,TRUE
2021 / 01,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,BANK OF MAHARASHTRA,Showroom Walk-in,12/29/2020,2020-12-30,2021-01-28,TRUE,TRUE
2021 / 01,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,12/11/2020,2020-12-14,2021-01-29,TRUE,TRUE
2021 / 01,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Not given,SELF,Referral,1/28/2021,2021-01-28,2021-01-29,TRUE,TRUE
2021 / 01,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,HDFC BANK LTD,Showroom Walk-in,12/28/2020,2020-12-28,2021-01-30,TRUE,TRUE
2021 / 01,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Referral,1/18/2021,2021-01-25,2021-01-31,TRUE,TRUE
2021 / 02,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,SELF,Cold Calling,2/6/2021,2021-02-11,2021-02-13,TRUE,TRUE
2021 / 02,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,SELF,Referral,2/2/2021,2021-02-06,2021-02-27,TRUE,TRUE
2021 / 02,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,BANK OF MAHARASHTRA,Showroom Walk-in,1/18/2021,2021-01-25,2021-02-26,TRUE,TRUE
2021 / 02,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Referral,2/3/2021,2021-02-09,2021-02-09,TRUE,TRUE
2021 / 03,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Not given,HDFC BANK LTD,Showroom Walk-in,12/25/2020,2020-12-25,2021-03-31,TRUE,TRUE
2021 / 03,Dealer 2,UVs,Model N,8.65718E+18,Won,Unspecified,Given,SELF,Referral,2/13/2021,2021-02-15,2021-03-19,TRUE,TRUE
2021 / 03,Dealer 2,UVs,Model N,8.65718E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,3/30/2021,2021-03-30,2021-03-30,TRUE,TRUE
2021 / 04,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,4/2/2021,2021-04-03,2021-04-16,TRUE,TRUE
2021 / 04,Dealer 2,UVs,Model F,8.65718E+18,Won,Unspecified,Not given,SELF,External Leads-BAP,3/26/2021,2021-03-30,2021-04-08,TRUE,TRUE
2021 / 04,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,STATE BANK OF INDIA,Showroom Walk-in,1/24/2021,2021-02-09,2021-04-16,TRUE,TRUE
2021 / 04,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,4/5/2021,2021-04-05,2021-04-06,TRUE,TRUE
2021 / 05,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,SELF,Referral,5/7/2021,2021-05-07,2021-05-29,TRUE,TRUE
2021 / 05,Dealer 2,UVs,Model F,8.65718E+18,Won,Unspecified,Given,SELF,Referral,3/6/2021,2021-03-09,2021-05-24,TRUE,TRUE
2021 / 06,Dealer 2,UVs,Model F,8.65718E+18,Won,Unspecified,Given,SELF,Referral,5/6/2021,2021-05-07,2021-06-14,TRUE,TRUE
2021 / 06,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Cold Calling,5/28/2021,2021-05-29,2021-06-22,TRUE,TRUE
2021 / 06,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,6/9/2021,2021-06-15,2021-06-22,TRUE,TRUE
2021 / 06,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,6/14/2021,2021-06-15,2021-06-21,TRUE,TRUE
2021 / 07,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Given,SELF,Referral,7/17/2021,2021-07-20,2021-07-21,TRUE,TRUE
2021 / 07,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,7/14/2021,2021-07-16,2021-07-21,TRUE,TRUE
2021 / 07,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,7/5/2021,2021-07-23,2021-07-26,TRUE,TRUE
2021 / 07,Dealer 2,UVs,Model N,8.65718E+18,Won,Unspecified,Given,SELF,Digital Lead-Dealer,7/22/2021,2021-07-26,2021-07-27,TRUE,TRUE
2021 / 07,Dealer 2,UVs,Model N,8.65718E+18,Won,Unspecified,Given,SELF,Referral,6/8/2021,2021-06-08,2021-07-31,TRUE,TRUE
2021 / 08,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,SELF,External Leads-BAP,8/30/2021,2021-08-31,2021-08-31,TRUE,TRUE
2021 / 08,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Given,SELF,Digital Lead-Dealer,6/29/2021,2021-06-29,2021-08-31,TRUE,TRUE
2021 / 08,Dealer 2,Cars,Model P,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,7/29/2021,2021-08-12,2021-08-20,TRUE,TRUE
2021 / 08,Dealer 2,UVs,Model F,8.65718E+18,Won,Unspecified,Given,SELF,Referral,8/23/2021,2021-08-23,2021-08-27,TRUE,TRUE
2021 / 08,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,External Leads-BAP,8/18/2021,2021-08-18,2021-08-31,TRUE,TRUE
2021 / 08,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Referral,7/12/2021,2021-08-03,2021-08-31,TRUE,TRUE
2021 / 08,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,8/26/2021,2021-08-26,2021-08-27,TRUE,TRUE
2021 / 08,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,7/17/2021,2021-07-26,2021-08-31,TRUE,TRUE
2021 / 08,Dealer 2,UVs,Model N,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,7/19/2021,2021-08-03,2021-08-10,TRUE,TRUE
2021 / 09,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,9/25/2021,2021-09-28,2021-09-28,TRUE,TRUE
2021 / 09,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,SELF,Digital Lead-Dealer,9/14/2021,2021-09-14,2021-09-24,TRUE,TRUE
2021 / 09,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Not given,SELF,External Leads-BAP,9/28/2021,2021-09-28,2021-09-28,TRUE,TRUE
2021 / 09,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Given,SELF,External Leads-Web,9/4/2021,2021-09-07,2021-09-09,TRUE,TRUE
2021 / 09,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,8/28/2021,2021-09-13,2021-09-27,TRUE,TRUE
2021 / 09,Dealer 2,UVs,Model F,8.65718E+18,Won,Unspecified,Given,SELF,Digital Lead-Dealer,7/15/2021,2021-07-15,2021-09-30,TRUE,TRUE
2021 / 09,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,External Leads - SSS Self,9/20/2021,2021-09-24,2021-09-24,TRUE,TRUE
2021 / 09,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Digital Lead-Dealer,7/2/2021,2021-09-02,2021-09-18,TRUE,TRUE
2021 / 09,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Cold Calling,8/22/2021,2021-08-26,2021-09-07,TRUE,TRUE
2021 / 09,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Not given,SELF,Referral,8/25/2021,2021-08-27,2021-09-17,TRUE,TRUE
2021 / 09,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,9/14/2021,2021-09-14,2021-09-20,TRUE,TRUE
2021 / 10,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,10/2/2021,2021-10-02,2021-10-31,TRUE,TRUE
2021 / 10,Dealer 2,Cars,Model P,8.65718E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,10/7/2021,2021-10-07,2021-10-28,TRUE,TRUE
2021 / 10,Dealer 2,Cars,Model P,8.65718E+18,Won,Unspecified,Given,SELF,Referral,10/8/2021,2021-10-08,2021-10-27,TRUE,TRUE
2021 / 10,Dealer 2,UVs,Model F,8.65718E+18,Won,Unspecified,Not given,SELF,External Leads-Web,10/7/2021,2021-10-10,2021-10-30,TRUE,TRUE
2021 / 10,Dealer 2,UVs,Model F,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,7/26/2021,2021-10-25,2021-10-31,TRUE,TRUE
2021 / 10,Dealer 2,UVs,Model F,8.65718E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,10/27/2021,2021-10-28,2021-10-31,TRUE,TRUE
2021 / 10,Dealer 2,UVs,Model F,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,9/27/2021,2021-09-27,2021-10-11,TRUE,TRUE
2021 / 10,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Referral,9/4/2021,2021-09-10,2021-10-08,TRUE,TRUE
2021 / 10,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,9/28/2021,2021-09-28,2021-10-15,TRUE,TRUE
2021 / 10,Dealer 2,UVs,Model L,8.65718E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,10/30/2021,2021-10-30,2021-10-30,TRUE,TRUE
2021 / 10,Dealer 2,UVs,Model L,8.65718E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,10/29/2021,2021-10-29,2021-10-29,TRUE,TRUE
2021 / 10,Dealer 2,UVs,Model L,8.65718E+18,Won,Unspecified,Not given,SELF,Referral,10/13/2021,2021-10-13,2021-10-28,TRUE,TRUE
2021 / 11,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,11/2/2021,2021-11-02,2021-11-15,TRUE,TRUE
2021 / 11,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,10/22/2021,2021-10-22,2021-11-12,TRUE,TRUE
2021 / 11,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,11/22/2021,2021-11-24,2021-11-24,TRUE,TRUE
2021 / 11,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Given,SELF,Referral,11/4/2021,2021-11-04,2021-11-29,TRUE,TRUE
2021 / 11,Dealer 2,Cars,Model P,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,10/5/2021,2021-10-05,2021-11-28,TRUE,TRUE
2021 / 11,Dealer 2,Cars,Model P,8.65718E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,11/23/2021,2021-11-23,2021-11-23,TRUE,TRUE
2021 / 11,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,11/8/2021,2021-11-08,2021-11-23,TRUE,TRUE
2021 / 11,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Not given,SELF,Digital Lead-Dealer,11/25/2021,2021-11-25,2021-11-25,TRUE,TRUE
2021 / 11,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,10/5/2021,2021-10-19,2021-11-30,TRUE,TRUE
2021 / 11,Dealer 2,UVs,Model L,8.65718E+18,Won,Unspecified,Given,SELF,Referral,11/4/2021,2021-11-05,2021-11-30,TRUE,TRUE
2021 / 11,Dealer 2,UVs,Model L,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,11/26/2021,2021-11-26,2021-11-30,TRUE,TRUE
2021 / 11,Dealer 2,UVs,Model L,8.65718E+18,Won,Unspecified,Given,SELF,Referral,11/15/2021,2021-11-16,2021-11-30,TRUE,TRUE
2021 / 11,Dealer 2,UVs,Model N,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,11/4/2021,2021-11-05,2021-11-08,TRUE,TRUE
2021 / 12,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Not given,SELF,Digital Lead-Dealer,12/27/2021,2021-12-27,2021-12-27,TRUE,TRUE
2021 / 12,Dealer 2,Cars,Model P,8.65718E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,12/25/2021,2021-12-25,2021-12-31,TRUE,TRUE
2021 / 12,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Not given,SELF,Referral,10/9/2021,2021-10-09,2021-12-29,TRUE,TRUE
2021 / 12,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,11/20/2021,2021-11-20,2021-12-31,TRUE,TRUE
2021 / 12,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Not given,SELF,External Leads-Web,4/14/2021,2021-06-14,2021-12-11,TRUE,TRUE
2021 / 12,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,10/11/2021,2021-10-11,2021-12-12,TRUE,TRUE
2021 / 12,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,9/8/2021,2021-09-08,2021-12-30,TRUE,TRUE
2021 / 12,Dealer 2,UVs,Model N,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,12/22/2021,2021-12-24,2021-12-24,TRUE,TRUE
2022 / 01,Dealer 2,Cars,Model A,8.65718E+18,Won,Unspecified,Not given,SELF,Referral,1/18/2022,2022-01-18,2022-01-19,TRUE,TRUE
2022 / 01,Dealer 2,Cars,Model O,8.65718E+18,Won,Unspecified,Given,SELF,Referral,1/22/2022,2022-01-22,2022-01-24,TRUE,TRUE
2022 / 01,Dealer 2,Cars,Model P,8.65718E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,1/10/2022,2022-01-10,2022-01-31,TRUE,TRUE
2022 / 01,Dealer 2,UVs,Model I,8.65718E+18,Won,Unspecified,Given,SELF,Call to Dealer,12/25/2021,2021-12-27,2022-01-27,TRUE,TRUE